City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Rodrigues Alves,BR,-7.738,-72.6509,73.6,92,88,2.01,overcast clouds
329,Kutum,SD,14.2,24.6667,63.43,15,7,10.02,clear sky
330,Airai,TL,-8.9266,125.4092,58.24,90,41,2.19,scattered clouds
331,Peachland,CA,49.7665,-119.7357,42.15,70,48,3.0,scattered clouds
332,Kahuta,PK,33.5913,73.3868,49.86,49,100,4.05,overcast clouds
333,Manaure,CO,11.7751,-72.4445,93.31,43,12,19.89,few clouds
334,Wanning,CN,18.8003,110.3967,68.88,91,100,11.32,overcast clouds
335,Eureka,US,40.8021,-124.1637,51.19,69,87,5.68,overcast clouds
336,Vaghodia,IN,22.3,73.3833,66.72,27,0,5.91,clear sky
337,Kommunar,RU,59.6206,30.39,32.52,89,100,15.17,light snow
338,Stettler,CA,52.3168,-112.7186,40.84,56,88,14.97,overcast clouds
339,Huarmey,PE,-10.0681,-78.1522,76.68,70,5,11.56,clear sky
340,Sept-Iles,CA,50.2001,-66.3821,6.06,57,75,10.36,broken clouds
341,Danshui,CN,22.7984,114.4672,62.64,85,91,6.35,overcast clouds
342,Yeppoon,AU,-23.1333,150.7333,69.58,80,22,17.52,few clouds
